Date,Open,High,Low,Close,Volume
2020-07-10,408.553,410.752,402.786,402.786,4839658.0675424
2020-07-13,411.028,418.997,410.202,413.502,5054038.4791467
2020-07-14,413.502,416.248,409.379,410.477,2951038.9575254
2020-07-15,415.972,421.743,410.752,413.777,3948306.6244579
2020-07-16,415.149,422.291,413.777,415.972,4797075.9810571
2020-07-17,415.149,417.071,406.358,408.553,4436383.6419428
2020-07-20,410.477,411.028,401.961,404.982,5108265.5041312
2020-07-21,401.135,401.41,395.367,398.939,7561032.2092754
2020-07-22,398.939,402.511,392.621,392.893,6624550.7157972
2020-07-27,381.356,387.673,379.704,386.851,9630543.2397398
2020-07-28,385.75,393.444,381.356,390.42,5681148.492764
2020-07-29,387.673,392.893,383.003,390.97,5981784.5791193
2020-07-30,397.016,401.41,390.42,390.695,6068408.5934804
2020-07-31,386.025,389.319,371.741,373.659,7757938.454606
2020-08-03,383.279,400.037,383.279,393.994,7942104.8803945
2020-08-04,398.664,419.272,397.842,418.997,10295511.130898
2020-08-05,409.654,434.657,401.961,428.336,15477660.829848
2020-08-06,429.988,435.204,420.642,424.768,9170855.4063325
2020-08-07,423.667,431.908,420.917,429.434,8766124.5186049
2020-08-11,439.602,446.473,435.758,445.648,9953381.0805755
2020-08-12,446.473,452.24,445.373,449.495,7971223.9851675
2020-08-13,453.063,453.336,442.348,446.195,5989790.0519297
2020-08-14,444.547,449.767,440.424,446.473,5938107.6115912
2020-08-17,446.745,451.965,444.822,448.394,5078784.8182731
2020-08-18,447.568,447.843,441.525,445.097,5779417.4456243
2020-08-19,440.424,447.843,439.052,447.843,4379966.8548726
2020-08-20,441.525,450.042,439.877,450.042,5125006.3704472
2020-08-21,451.415,452.24,443.724,444.272,5619639.1571395
2020-08-24,444.272,445.097,436.578,440.978,3736839.1371096
2020-08-25,447.843,450.589,445.097,447.843,6885145.9210507
2020-08-26,442.348,452.24,440.424,452.24,4684610.7465268
2020-08-27,449.219,451.69,445.373,445.919,4865864.2480593
2020-08-28,447.843,458.008,444.822,448.941,10836727.05085
2020-08-31,456.638,461.858,454.712,455.538,9387415.4422351
2020-09-01,457.46,461.308,451.965,454.712,5636741.6045406
2020-09-02,457.46,459.932,452.24,458.283,5405988.6662304
2020-09-03,465.152,465.703,459.657,461.033,5488246.6734699
2020-09-04,452.788,466.253,452.24,464.604,6857848.2387534
2020-09-07,461.858,471.473,461.58,467.075,7173042.1878639
2020-09-08,470.647,472.849,464.604,472.023,6423275.0840826
2020-09-09,470.923,490.154,469.274,488.234,12434905.309408
2020-09-10,507.463,514.885,503.069,513.784,13618883.986775
2020-09-11,514.885,529.169,512.683,528.896,10753745.88144
2020-09-14,510.762,518.732,504.441,509.936,11773215.302853
2020-09-15,500.87,516.257,498.124,512.411,8644193.9698737
2020-09-16,507.741,511.31,496.475,498.124,8552477.4069583
2020-09-17,501.42,508.839,499.5,500.044,7163218.6718403
2020-09-18,506.915,515.16,505.539,509.39,6976869.242491
2020-09-23,513.511,526.151,511.31,517.906,9217441.9188542
2020-09-24,516.805,529.719,510.762,519.279,8623452.0567838
2020-09-25,522.025,526.695,517.08,518.178,6343930.0010991
2020-09-28,519.554,520.927,497.298,506.365,10936455.8451
2020-09-29,501.42,513.511,500.87,512.411,5554486.9765636
2020-09-30,512.135,512.135,499.225,499.225,5887516.673033
2020-10-02,507.463,513.511,499.225,502.793,6603437.0838347
2020-10-05,511.86,521.477,509.936,514.334,5239657.9878008
2020-10-06,519.83,520.38,507.188,509.936,5948296.0879623
