Date,Open,High,Low,Close,Volume
2018-01-31,2528.78,2688.43,2384.58,2385,74104184.275792
2018-02-28,2420.2,2453.23,2156.67,2194.44,89322907.281209
2018-03-31,2163.11,2177.27,1912.46,2031.87,90827090.715408
2018-04-30,2033.19,2138.84,1975.35,2074.05,70810780.822017
2018-05-31,2051.87,2197.52,1970.56,1984.91,67198751.709694
2018-06-30,2004.04,2047.96,1855.78,1891.86,76544661.056367
2018-07-31,1881.43,1974.04,1794.47,1933.59,65559531.514514
2018-08-31,1987.1,2024.48,1888.81,1944.04,92741128.061818
2018-09-30,1934.04,2136.7,1817.94,2125.21,74046111.787985
2018-10-31,2120.36,2153.05,1792.75,1845.37,79847701.719898
2018-11-30,1847.13,1974.89,1803.36,1835.64,80525023.105288
2018-12-31,1853.33,1877.19,1586.28,1673.38,83031762.812694
2019-01-31,1638.01,1794.52,1603.96,1777.28,62430350.49977
2019-02-28,1772.41,1836.52,1731.3,1771.53,60044163.299685
2019-03-31,1764.9,1795.8,1694.6,1762.87,58947477.992329
2019-04-30,1794.46,1877.45,1769.19,1786.79,49872774.557862
2019-05-31,1799.85,1801.66,1615.37,1629.81,73732773.719682
2019-06-30,1605.44,1684.83,1600.48,1668.15,62222640.138787
2019-07-31,1697.01,1701.53,1534.62,1548.6,66307272.060882
2019-08-31,1533.72,1542.74,1275.25,1340.65,86260656.217686
2019-09-30,1337.94,1429.52,1321.25,1367.12,75759829.817314
2019-10-31,1360.3,1462.92,1323.97,1445.21,61223758.187532
2019-11-30,1421.6,1498.79,1414.78,1457.93,77533216.022255
2019-12-31,1462.01,1622.28,1431.13,1501.96,94215653.213089
2020-01-31,1478.81,1586.87,1380.73,1394.36,75985665.661225
2020-02-29,1362.12,1429.32,1089.7,1104.22,103338752.62805
2020-03-31,1089.7,1113.76,778.226,840.345,182639096.20158
2020-04-30,835.433,880.562,724.733,828.074,122241365.50676
2020-05-31,800.844,983.913,754.883,901.362,138183567.98538
2020-06-30,900.82,1074.71,884.469,920.344,162336161.27404
2020-07-31,906.903,1006.14,778.226,778.681,110893476.04295
2020-08-31,794.481,977.096,789.666,948.483,109086695.18435
2020-09-30,938.039,1071.54,891.731,898.548,124483240.68733
2020-10-31,905.897,1041.57,885.465,913.971,104200672.23783
2020-11-30,934.868,1242.25,931.232,1159.17,144285889.74169
2020-12-31,1167.34,1292.65,1156.9,1205.93,105495938.46227
2021-01-31,1212.29,1361.21,1076.09,1096.05,120200024.74572
2021-02-28,1087.88,1469.28,1086.06,1423.42,124552618.46294
2021-03-31,1436.59,1774.39,1392.09,1722.26,168122772.63034
2021-04-30,1707.2,1843.22,1633.7,1740.97,121829215.78968
2021-05-31,1825.88,2149.51,1824.96,1876.09,184677418.28946
2021-06-30,1876.09,1911.24,1603.12,1710.4,143994689.64412
2021-07-31,1735.49,1757.4,1588.51,1727.28,123864077.62389
2021-08-31,1755.13,2060.96,1714.96,2052.28,243549772.7891
2021-09-30,2051.37,2173.71,1831.81,1906.36,248197503.59902
2021-10-31,1876.37,1952.29,1752.65,1873.55,151347116.45413
2021-11-30,1915.73,1986.96,1589.57,1592.85,174701669.35252
2021-12-31,1588.63,1807.02,1584.42,1760.62,115906742.42361
2022-01-31,1776.56,2121,1674.86,1739.07,218472823.30529
2022-02-28,1734.38,1986.5,1704.86,1976.19,174703163.69399
2022-03-31,2015.08,2173.01,1839.82,2099.32,231164285.0033
2022-04-30,2086.75,2100.77,1893.83,2001.17,132860089.7608
2022-05-31,2002.62,2176.67,1856.6,2176.19,171671808.78656
2022-06-30,2170.87,2187.79,1777.31,1836.3,175853482.93305
2022-07-31,1850.32,1987.15,1789.88,1904.95,132809726.83397
2022-08-31,1914.14,2158.79,1830.5,2135.58,171912351.22559
2022-09-30,2194.08,2240.01,1991.5,2006.5,163721715.12704
2022-10-31,1994.5,2154,1960.5,2042.5,99663100
2022-11-30,2063.5,2299.5,2056.5,2192.5,144086100
2022-12-31,2187,2336,2161.5,2292,140563700
2023-01-31,2277,2579.5,2228,2569,104657900
